property_type,area,bathrooms,bedrooms,parking_spots,neighborhood,rent,more_than_1_floor,furnished,barbecue_grill,kitchen,security,beach_distance,latitude,longitude
apartment,5.429345628954441,4,3,1,Boa Viagem,8.699514748210191,0,0,0,0,0,0.157673972831475,-8.1301011,-34.9001821
apartment,4.718498871295094,4,4,2,Boa Viagem,8.160518247477505,0,0,1,0,1,0.2783799917043775,-8.1438751,-34.9071533
apartment,5.075173815233827,5,4,3,Boa Viagem,8.737452587550584,0,0,0,0,1,0.1200353374835375,-8.1396537,-34.9032052
apartment,4.31748811353631,3,3,2,Tamarineira,8.070906088787819,0,0,0,0,1,3.835352845447469,-8.0324159,-34.9010191
apartment,5.298317366548036,5,5,3,Boa Viagem,8.699514748210191,0,0,0,0,0,0.1663991953428494,-8.1335303,-34.9020993
apartment,4.23410650459726,2,2,1,Parnamirim,7.635303886259415,0,0,0,0,0,4.620483066668919,-8.0344855,-34.908601
apartment,4.219507705176107,3,2,1,Casa Amarela,7.7406644019172415,0,0,1,0,1,5.38320697358781,-8.0272105,-34.9141954
apartment,4.04305126783455,2,2,1,Boa Viagem,7.894690850425624,0,1,1,0,1,0.5425408298715771,-8.1105394,-34.8946475
apartment,3.7376696182833684,1,1,0,Parnamirim,7.731930721948486,0,1,0,0,0,5.347793314588808,-8.0331482,-34.9150779
apartment,4.3694478524670215,2,2,2,Várzea,7.138866999945524,0,0,0,0,0,9.738504544628084,-8.0333634,-34.9551353
apartment,5.117993812416755,3,4,3,Boa Viagem,8.779557455883728,0,0,0,0,0,0.1516360486103859,-8.1015809,-34.8864411
apartment,3.4657359027997265,1,1,1,Parnamirim,7.3777589082278725,0,1,0,0,0,4.620483066668919,-8.0344855,-34.908601
apartment,4.060443010546419,1,2,1,Pina,8.1886891244442,0,0,0,0,1,0.0329553595213586,-8.0973128,-34.8834512
apartment,3.5263605246161616,1,1,1,Boa Vista,7.3777589082278725,0,0,0,0,0,2.369172199949736,-8.06305625,-34.88963173631924
apartment,4.700480365792417,3,3,2,Boa Viagem,8.411832675758411,0,1,0,0,0,0.0415685941203226,-8.1294922,-34.8989414
apartment,4.605170185988092,1,3,0,Boa Vista,7.408530566894626,0,0,0,0,0,2.3437239625230526,-8.0617501,-34.8872674
apartment,3.9889840465642745,2,2,1,Graças,8.006367567650246,0,1,0,0,1,3.735604294108275,-8.0517464,-34.899125
apartment,4.04305126783455,1,3,1,Espinheiro,7.24422751560335,0,0,0,0,0,3.0895962176013763,-8.0492564,-34.893749
apartment,4.060443010546419,2,2,1,Casa Forte,7.948031990637284,0,1,0,0,1,5.876997050940563,-8.0326434,-34.9198542
apartment,4.382026634673881,1,3,2,Graças,7.937374696163295,0,0,0,0,1,3.880426531152748,-8.0483443,-34.901319
apartment,5.247024072160486,2,4,2,Boa Viagem,8.294049640102028,0,0,0,0,1,0.2198615823123788,-8.1051341,-34.8877917
apartment,5.075173815233827,4,4,1,Boa Viagem,8.131530710604252,0,0,0,0,0,0.3114033914532585,-8.1259508,-34.9002713
apartment,4.07753744390572,2,3,1,Madalena,7.696212639346407,0,0,1,0,1,3.9020169322531344,-8.0574239,-34.9037082
apartment,3.4011973816621555,1,1,1,Boa Viagem,7.549609165154532,0,1,0,0,1,0.4344335675502966,-8.1097853,-34.8925737
apartment,5.0106352940962555,5,4,3,Casa Forte,8.817297783866575,0,0,1,0,1,5.984225635146894,-8.0316933,-34.9206995
apartment,4.248495242049359,2,2,1,Boa Viagem,7.408530566894626,0,0,1,1,1,1.2644979036650392,-8.1266931,-34.9099144
apartment,4.584967478670572,2,3,2,Boa Viagem,7.824046010856292,0,0,1,0,1,0.7442258527899962,-8.1273016,-34.9050352
apartment,5.62040086571715,5,4,3,Ilha do Retiro,8.78615105486974,0,1,0,0,1,3.2630682028005755,-8.0643765,-34.9016273
