title,address,area,bathrooms,bedrooms,parking_spots,extra_contents,rent,fee
"Apartamento com 3 Quartos para Aluguel, 75m²","Tamarineira, Recife - PE",75,3,3,2,"['Piscina', 'Elevador', 'Academia', 'Playground', 'Salão de festas']",3.200,
"Apartamento com 3 Quartos para Aluguel, 82m²","Rua São Geraldo, 127 - Santo Amaro, Recife - PE",82,1,3,1,"['Mobiliado', 'Elevador', 'Ar-condicionado', 'Aceita animais', 'Bicicletário']",2.000,
"Apartamento com 3 Quartos para Aluguel, 228m²","Rua dos Navegantes, 215 - Boa Viagem, Recife - PE",228,4,3,1,,6.000,
"Apartamento com 2 Quartos para Aluguel, 69m²","Avenida Parnamirim, 58 - Parnamirim, Recife - PE",69,2,2,1,,1.400,  R$ 670  
"Apartamento com  Quarto para Aluguel, 42m²","Avenida Flor de Santana, 115 - Parnamirim, Recife - PE",42,1,1,--,"['Mobiliado', 'Ar-condicionado', 'Aceita animais', 'Cozinha americana']",1.600,  R$ 680  
"Apartamento com 3 Quartos para Aluguel, 288m²","Avenida Boa Viagem, 1500 - Boa Viagem, Recife - PE",288,4,3,4,"['Piscina', 'Elevador', 'Academia', 'Condomínio fechado', 'Playground']",13.000,  R$ 4.000  
"Apartamento com 4 Quartos para Aluguel, 112m²","Rua Baltazar Passos, 260 - Boa Viagem, Recife - PE",112,4,4,2,"['Piscina', 'Elevador', 'Academia', 'Churrasqueira', 'Playground']",3.500,
"Apartamento com 4 Quartos para Aluguel, 160m²","Avenida Boa Viagem, 5822 - Boa Viagem, Recife - PE",160,5,4,3,"['Piscina', 'Elevador', 'Academia', 'Condomínio fechado', 'Playground']",5.000,  R$ 1.232  
"Apartamento com 4 Quartos para Aluguel, 167m²","Rua Pedro Américo Galvão, 109 - Boa Viagem, Recife - PE",167,3,4,3,"['Elevador', 'Academia', 'Ar-condicionado', 'Salão de festas', 'Aceita animais']",6.500,
"Apartamento com 2 Quartos para Aluguel, 57m²","Rua Aviador Severiano Lins - Boa Viagem, Recife - PE",57,2,2,1,"['Mobiliado', 'Piscina', 'Varanda', 'Ar-condicionado', 'Churrasqueira']",2.300,  R$ 383  
"Apartamento com 5 Quartos para Aluguel, 200m²","Rua Setúbal, 278 - Boa Viagem, Recife - PE",200,5,5,3,"['Elevador', 'Ar-condicionado', 'Salão de festas', 'Aceita animais', 'Jardim']",6.000,
"Apartamento com 2 Quartos para Aluguel, 68m²","Estrada do Arraial, 3574 - Casa Amarela, Recife - PE",68,3,2,1,"['Piscina', 'Elevador', 'Academia', 'Churrasqueira', 'Condomínio fechado']",2.300,
"Apartamento com 2 Quartos para Aluguel, 58m²","Avenida Boa Viagem, 2290 - Boa Viagem, Recife - PE",58,1,2,1,"['Piscina', 'Elevador', 'Ar-condicionado', 'Condomínio fechado', 'Salão de festas']",3.600,
"Apartamento com  Quarto para Aluguel, 34m²","Rua José de Alencar, 493 - Boa Vista, Recife - PE",34,1,1,1,"['Elevador', 'Aceita animais', 'Portaria 24h', 'Cozinha americana']",1.600,
