property_type,area,bathrooms,bedrooms,parking_spots,neighborhood,rent,more_than_1_floor,furnished,barbecue_grill,kitchen,pool,beach_distance,latitude,longitude
apartment,74,1,3,1,Casa Forte,2500,0,0,0,0,0,5.691941074711678,-8.0337811,-34.9183073
apartment,90,3,3,2,Boa Viagem,6000,0,1,0,0,1,1.0310089481450584,-8.1166184,-34.9035989
apartment,48,1,2,1,Madalena,2200,0,1,0,0,1,4.468309796492349,-8.0488136,-34.906654
apartment,300,1,4,4,Boa Viagem,20000,0,0,0,0,1,0.11944408228403565,-8.1040701,-34.8872976
apartment,49,2,2,1,Boa Viagem,2200,0,1,0,0,1,0.6971943824613034,-8.1106061,-34.8962566
apartment,75,2,2,1,Graças,2600,0,0,0,0,0,3.4668498273323216,-8.0444636,-34.898188
apartment,33,1,1,1,Jaqueira,1800,0,1,0,0,1,3.4721183639184043,-8.0425742,-34.898440550000004
apartment,69,1,3,1,Encruzilhada,2000,0,0,1,1,1,2.11101670661016,-8.03583,-34.8857558
apartment,50,2,2,1,Pina,3000,0,1,0,0,1,0.0329553595213586,-8.0973128,-34.8834512
apartment,70,2,2,0,Santo Amaro,1300,0,0,0,0,0,1.9988166191181418,-8.05577225,-34.878297588132426
apartment,201,4,4,3,Pina,9200,0,0,1,0,1,0.29446552914341706,-8.092948,-34.8834319
apartment,87,2,2,0,Boa Viagem,2300,0,0,0,0,0,0.4305038994122344,-8.1207531,-34.8995492
apartment,25,1,1,1,Soledade,1500,0,1,0,0,0,2.875786349980784,-8.0585559,-34.8912278
apartment,75,1,3,1,Boa Viagem,2400,0,0,1,0,1,0.7269148980153953,-8.1235027,-34.9033955
apartment,78,3,3,1,Torre,2130,0,0,0,0,0,4.62799583801275,-8.0480938,-34.9082579
apartment,95,3,3,2,Boa Viagem,4500,0,0,0,0,1,0.0938971282652827,-8.1199395,-34.8957061
apartment,65,2,3,1,Boa Vista,2500,0,0,1,0,1,2.661010108885919,-8.0615336,-34.89196122829392
apartment,69,2,3,1,San Martin,1770,0,0,0,0,1,5.457283774403198,-8.0703463,-34.9267904
apartment,86,3,3,1,Casa Forte,1600,0,0,1,0,0,5.581189101356884,-8.0320727,-34.9170589
apartment,32,1,1,1,Soledade,2000,0,1,0,0,1,2.944255121612553,-8.0556218,-34.8895781
apartment,55,2,2,1,Graças,2900,0,1,1,0,1,3.4668498273323216,-8.0444636,-34.898188
apartment,130,3,3,1,Graças,2600,0,0,0,0,0,3.711255443982079,-8.0497808,-34.8994382
apartment,140,2,2,2,Boa Viagem,5000,0,0,1,0,1,0.09817323644703083,-8.1034421,-34.88699
apartment,355,5,4,4,Boa Viagem,9700,0,0,0,0,1,0.08942597799132482,-8.1173024,-34.89377961229388
apartment,56,2,2,1,Caxangá,1700,0,0,1,0,1,9.489674841117392,-8.0309406,-34.9526533
apartment,43,1,2,1,Boa Viagem,2000,0,1,1,0,1,0.4112622462654447,-8.1283154,-34.9021852
apartment,50,2,2,1,Espinheiro,1886,0,0,0,0,1,2.851794014755245,-8.0426365,-34.8927867
apartment,231,6,4,4,Boa Viagem,14950,0,0,0,0,1,0.18139385663278404,-8.1107418,-34.8899321
apartment,248,4,4,3,Pina,6500,0,0,0,0,1,0.0329553595213586,-8.0973128,-34.8834512
